day,city,S,E,I,R
0,Trophy Club,13454.00,0.00,0.00,0.00
0,Kilgore,13444.00,0.00,0.00,0.00
0,Andrews,13416.00,0.00,0.00,0.00
0,Henderson,13348.00,0.00,0.00,0.00
0,Tomball,13032.00,0.00,0.00,0.00
0,Athens,13013.00,0.00,0.00,0.00
0,Manvel,12873.00,0.00,0.00,0.00
0,Santa Fe,12828.00,0.00,0.00,0.00
0,Robinson,12668.00,0.00,0.00,0.00
0,Lantana,12583.00,0.00,0.00,0.00
0,Levelland,12565.00,0.00,0.00,0.00
0,Borger,12398.00,0.00,0.00,0.00
0,Webster,12283.00,0.00,0.00,0.00
0,El Campo,12220.00,0.00,0.00,0.00
0,Richmond,12117.00,0.00,0.00,0.00
0,Hornsby Bend,12021.00,0.00,0.00,0.00
0,Fort Bliss,12009.00,0.00,0.00,0.00
0,Granbury,11665.00,0.00,0.00,0.00
0,Roma,11543.00,0.00,0.00,0.00
0,Four Corners,11490.00,0.00,0.00,0.00
0,Leon Valley,11479.00,0.00,0.00,0.00
0,Port Lavaca,11410.00,0.00,0.00,0.00
0,La Homa,11389.00,0.00,0.00,0.00
0,Snyder,11310.00,0.00,0.00,0.00
0,Selma,11302.00,0.00,0.00,0.00
0,Fredericksburg,11254.00,0.00,0.00,0.00
0,Iowa Colony,11028.00,0.00,0.00,0.00
0,Heartland,11019.00,0.00,0.00,0.00
0,Burkburnett,11012.00,0.00,0.00,0.00
0,Elgin,10996.00,0.00,0.00,0.00
0,Pleasanton,10854.00,0.00,0.00,0.00
0,Scenic Oaks,10727.00,0.00,0.00,0.00
0,Clute,10650.00,0.00,0.00,0.00
0,Freeport,10639.00,0.00,0.00,0.00
0,Fair Oaks Ranch,10630.00,0.00,0.00,0.00
0,Bonham,10594.00,0.00,0.00,0.00
0,Fairview,10570.00,0.00,0.00,0.00
1,Houston,6046378.79,3.01,9.24,0.95
1,Dallas,5843632.00,0.00,0.00,0.00
1,San Antonio,2069843.00,0.00,0.00,0.00
1,Austin,1915031.00,0.00,0.00,0.00
1,Fort Worth,941311.00,0.00,0.00,0.00
1,El Paso,862494.00,0.00,0.00,0.00
1,McAllen,810034.00,0.00,0.00,0.00
1,Denton,455152.00,0.00,0.00,0.00
1,Arlington,394769.00,0.00,0.00,0.00
1,Corpus Christi,339432.00,0.00,0.00,0.00
1,Plano,287339.00,0.00,0.00,0.00
1,Lubbock,283024.00,0.00,0.00,0.00
1,Killeen,261099.00,0.00,0.00,0.00
1,Laredo,255949.00,0.00,0.00,0.00
1,Irving,255036.00,0.00,0.00,0.00
1,Garland,245298.00,0.00,0.00,0.00
1,Brownsville,223416.00,0.00,0.00,0.00
1,College Station,215768.00,0.00,0.00,0.00
1,Frisco,210238.00,0.00,0.00,0.00
1,Amarillo,205100.00,0.00,0.00,0.00
1,Galveston,202810.00,0.00,0.00,0.00
1,McKinney,202314.00,0.00,0.00,0.00
1,Grand Prairie,198564.00,0.00,0.00,0.00
1,Waco,197594.00,0.00,0.00,0.00
1,Odessa,162648.00,0.00,0.00,0.00
1,Pasadena,149344.99,0.00,0.01,0.00
1,Mesquite,148848.00,0.00,0.00,0.00
1,Beaumont,146554.00,0.00,0.00,0.00
1,Midland,143714.00,0.00,0.00,0.00
1,Carrollton,132741.00,0.00,0.00,0.00
1,Tyler,131037.00,0.00,0.00,0.00
1,Lewisville,128313.00,0.00,0.00,0.00
1,Abilene,127130.00,0.00,0.00,0.00
1,Pearland,125982.99,0.00,0.01,0.00
1,Round Rock,124288.00,0.00,0.00,0.00
1,Temple,123932.00,0.00,0.00,0.00
1,Richardson,118269.00,0.00,0.00,0.00
1,The Woodlands,116916.00,0.00,0.00,0.00
1,Harlingen,115767.00,0.00,0.00,0.00
1,League City,114885.00,0.00,0.00,0.00
1,Port Arthur,114860.00,0.00,0.00,0.00
1,Longview,112687.00,0.00,0.00,0.00
1,Sugar Land,109734.99,0.00,0.00,0.00
1,Allen,107684.00,0.00,0.00,0.00
1,Edinburg,102561.00,0.00,0.00,0.00
1,Wichita Falls,102558.00,0.00,0.00,0.00
1,San Angelo,99507.00,0.00,0.00,0.00
1,New Braunfels,98700.00,0.00,0.00,0.00
1,Conroe,96976.00,0.00,0.00,0.00
1,Atascocita,93925.99,0.00,0.01,0.00
1,Mission,86234.00,0.00,0.00,0.00
1,Bryan,86169.00,0.00,0.00,0.00
1,Baytown,84538.00,0.00,0.00,0.00
1,Pharr,79809.00,0.00,0.00,0.00
1,Georgetown,78803.00,0.00,0.00,0.00
1,Texarkana,78541.00,0.00,0.00,0.00
1,Flower Mound,77886.00,0.00,0.00,0.00
1,Cedar Park,77474.00,0.00,0.00,0.00
1,Mansfield,75398.00,0.00,0.00,0.00
1,Missouri City,75233.99,0.00,0.00,0.00
1,San Marcos,74469.00,0.00,0.00,0.00
1,Sherman,73984.00,0.00,0.00,0.00
1,North Richland Hills,70338.00,0.00,0.00,0.00
1,Leander,67880.00,0.00,0.00,0.00
1,Spring,67103.00,0.00,0.00,0.00
1,Victoria,66523.00,0.00,0.00,0.00
1,Pflugerville,65162.00,0.00,0.00,0.00
1,Rowlett,64139.00,0.00,0.00,0.00
1,Euless,60373.00,0.00,0.00,0.00
1,Wylie,58991.00,0.00,0.00,0.00
1,DeSoto,55896.00,0.00,0.00,0.00
1,Texas City,54159.00,0.00,0.00,0.00
1,Kyle,52439.00,0.00,0.00,0.00
1,Little Elm,51426.00,0.00,0.00,0.00
1,Burleson,50981.00,0.00,0.00,0.00
1,Grapevine,50875.00,0.00,0.00,0.00
1,Rockwall,49605.00,0.00,0.00,0.00
1,Bedford,49191.00,0.00,0.00,0.00
1,Cedar Hill,48547.00,0.00,0.00,0.00
1,Huntsville,46917.00,0.00,0.00,0.00
1,Haltom City,45681.00,0.00,0.00,0.00
1,Keller,45598.00,0.00,0.00,0.00
1,The Colony,44916.00,0.00,0.00,0.00
1,Waxahachie,43591.00,0.00,0.00,0.00
1,Channelview,43536.00,0.00,0.00,0.00
1,Schertz,43128.00,0.00,0.00,0.00
1,Coppell,42029.00,0.00,0.00,0.00
1,Weslaco,41437.00,0.00,0.00,0.00
1,Friendswood,40827.00,0.00,0.00,0.00
1,Lancaster,40753.00,0.00,0.00,0.00
1,Hurst,39912.00,0.00,0.00,0.00
1,Duncanville,39879.00,0.00,0.00,0.00
1,Rosenberg,39467.00,0.00,0.00,0.00
1,Mission Bend,37280.00,0.00,0.00,0.00
1,Midlothian,37256.00,0.00,0.00,0.00
1,Copperas Cove,37149.00,0.00,0.00,0.00
1,Farmers Branch,36254.00,0.00,0.00,0.00
1,Socorro,36237.00,0.00,0.00,0.00
1,La Porte,36077.00,0.00,0.00,0.00
1,San Juan,35674.00,0.00,0.00,0.00
1,Timberwood Park,34980.00,0.00,0.00,0.00
1,Del Rio,34638.00,0.00,0.00,0.00
1,Prosper,34567.00,0.00,0.00,0.00
1,Lufkin,34158.00,0.00,0.00,0.00
1,Weatherford,33924.00,0.00,0.00,0.00
1,Cibolo,33829.00,0.00,0.00,0.00
1,Deer Park,33823.00,0.00,0.00,0.00
1,Harker Heights,33595.00,0.00,0.00,0.00
1,Cleburne,32966.00,0.00,0.00,0.00
1,Canyon Lake,32924.00,0.00,0.00,0.00
1,Hutto,32188.00,0.00,0.00,0.00
1,Nacogdoches,32104.00,0.00,0.00,0.00
1,West Odessa,31985.00,0.00,0.00,0.00
1,Seguin,31789.00,0.00,0.00,0.00
1,Southlake,31044.00,0.00,0.00,0.00
1,Greenville,29936.00,0.00,0.00,0.00
1,Sachse,29075.00,0.00,0.00,0.00
1,Converse,28764.00,0.00,0.00,0.00
1,Forney,28222.00,0.00,0.00,0.00
1,Eagle Pass,28186.00,0.00,0.00,0.00
1,Lake Jackson,27902.00,0.00,0.00,0.00
1,Alvin,27700.00,0.00,0.00,0.00
1,Balch Springs,27181.00,0.00,0.00,0.00
1,Celina,27141.00,0.00,0.00,0.00
1,Fulshear,26986.00,0.00,0.00,0.00
1,Colleyville,25906.00,0.00,0.00,0.00
1,Fort Hood,25786.00,0.00,0.00,0.00
1,Denison,25347.00,0.00,0.00,0.00
1,Corsicana,25344.00,0.00,0.00,0.00
1,University Park,25104.00,0.00,0.00,0.00
1,Kingsville,25061.00,0.00,0.00,0.00
1,Pecan Grove,24798.00,0.00,0.00,0.00
1,Big Spring,24769.00,0.00,0.00,0.00
1,Paris,24678.00,0.00,0.00,0.00
1,San Benito,24677.00,0.00,0.00,0.00
1,Cloverleaf,24630.00,0.00,0.00,0.00
1,Kerrville,24532.00,0.00,0.00,0.00
1,Saginaw,24467.00,0.00,0.00,0.00
1,Benbrook,24430.00,0.00,0.00,0.00
1,Fresno,24087.00,0.00,0.00,0.00
1,Katy,23900.00,0.00,0.00,0.00
1,Belton,23769.00,0.00,0.00,0.00
1,Marshall,23646.00,0.00,0.00,0.00
1,Watauga,23336.00,0.00,0.00,0.00
1,Horizon City,23069.00,0.00,0.00,0.00
1,Corinth,22868.00,0.00,0.00,0.00
1,Dickinson,21612.00,0.00,0.00,0.00
1,Ennis,21546.00,0.00,0.00,0.00
1,Stephenville,21345.00,0.00,0.00,0.00
1,Murphy,21001.00,0.00,0.00,0.00
1,Anna,20975.00,0.00,0.00,0.00
1,Princeton,20966.00,0.00,0.00,0.00
1,Brushy Creek,20953.00,0.00,0.00,0.00
1,Fate,20757.00,0.00,0.00,0.00
1,Portland,20369.00,0.00,0.00,0.00
1,Alamo,20008.00,0.00,0.00,0.00
1,Plainview,19893.00,0.00,0.00,0.00
1,Universal City,19853.00,0.00,0.00,0.00
1,Angleton,19597.00,0.00,0.00,0.00
1,Boerne,19509.00,0.00,0.00,0.00
1,Alton,19205.00,0.00,0.00,0.00
1,Orange,19178.00,0.00,0.00,0.00
1,Cinco Ranch,19139.00,0.00,0.00,0.00
1,Lakeway,19130.00,0.00,0.00,0.00
1,Terrell,19019.00,0.00,0.00,0.00
1,Crowley,19007.00,0.00,0.00,0.00
1,Seagoville,18968.00,0.00,0.00,0.00
1,Palestine,18888.00,0.00,0.00,0.00
1,La Marque,18833.00,0.00,0.00,0.00
1,Brownwood,18805.00,0.00,0.00,0.00
1,Steiner Ranch,18683.00,0.00,0.00,0.00
1,Nederland,18475.00,0.00,0.00,0.00
1,White Settlement,18119.00,0.00,0.00,0.00
1,Brenham,18086.00,0.00,0.00,0.00
1,Bay City,17816.00,0.00,0.00,0.00
1,Alice,17797.00,0.00,0.00,0.00
1,Gainesville,17688.00,0.00,0.00,0.00
1,Melissa,17497.00,0.00,0.00,0.00
1,Royse City,17357.00,0.00,0.00,0.00
1,Stafford,17279.00,0.00,0.00,0.00
1,Glenn Heights,17175.00,0.00,0.00,0.00
1,Addison,17128.00,0.00,0.00,0.00
1,Bellaire,17115.99,0.00,0.00,0.00
1,Groves,17021.00,0.00,0.00,0.00
1,Manor,16917.00,0.00,0.00,0.00
1,Donna,16774.00,0.00,0.00,0.00
1,Taylor,16767.00,0.00,0.00,0.00
1,Pampa,16735.00,0.00,0.00,0.00
1,Humble,16489.00,0.00,0.00,0.00
1,Mercedes,16449.00,0.00,0.00,0.00
1,Hewitt,16244.00,0.00,0.00,0.00
1,Sulphur Springs,16185.00,0.00,0.00,0.00
1,Mount Pleasant,16061.00,0.00,0.00,0.00
1,Gatesville,16058.00,0.00,0.00,0.00
1,South Houston,16017.00,0.00,0.00,0.00
1,Highland Village,16004.00,0.00,0.00,0.00
1,Red Oak,15909.00,0.00,0.00,0.00
1,Rendon,15894.00,0.00,0.00,0.00
1,Live Oak,15875.00,0.00,0.00,0.00
1,Palmview,15650.00,0.00,0.00,0.00
1,Buda,15487.00,0.00,0.00,0.00
1,Aldine,15434.00,0.00,0.00,0.00
1,Canyon,15398.00,0.00,0.00,0.00
1,Uvalde,15344.00,0.00,0.00,0.00
1,Rio Grande City,15258.00,0.00,0.00,0.00
1,Mineral Wells,15130.00,0.00,0.00,0.00
1,West University Place,14906.99,0.00,0.01,0.00
1,Hereford,14874.00,0.00,0.00,0.00
1,Lockhart,14708.00,0.00,0.00,0.00
1,Dumas,14362.00,0.00,0.00,0.00
1,Hidalgo,14250.00,0.00,0.00,0.00
1,Jacksonville,14186.00,0.00,0.00,0.00
1,Wells Branch,14156.00,0.00,0.00,0.00
1,Forest Hill,13923.00,0.00,0.00,0.00
1,Lumberton,13803.00,0.00,0.00,0.00
1,Azle,13734.00,0.00,0.00,0.00
1,Port Neches,13627.00,0.00,0.00,0.00
1,Seabrook,13617.00,0.00,0.00,0.00
1,Beeville,13518.00,0.00,0.00,0.00
1,Trophy Club,13454.00,0.00,0.00,0.00
1,Kilgore,13444.00,0.00,0.00,0.00
1,Andrews,13416.00,0.00,0.00,0.00
1,Henderson,13348.00,0.00,0.00,0.00
1,Tomball,13032.00,0.00,0.00,0.00
1,Athens,13013.00,0.00,0.00,0.00
1,Manvel,12873.00,0.00,0.00,0.00
1,Santa Fe,12828.00,0.00,0.00,0.00
1,Robinson,12668.00,0.00,0.00,0.00
1,Lantana,12583.00,0.00,0.00,0.00
1,Levelland,12565.00,0.00,0.00,0.00
1,Borger,12398.00,0.00,0.00,0.00
1,Webster,12283.00,0.00,0.00,0.00
1,El Campo,12220.00,0.00,0.00,0.00
1,Richmond,12117.00,0.00,0.00,0.00
1,Hornsby Bend,12021.00,0.00,0.00,0.00
1,Fort Bliss,12009.00,0.00,0.00,0.00
1,Granbury,11665.00,0.00,0.00,0.00
1,Roma,11543.00,0.00,0.00,0.00
1,Four Corners,11490.00,0.00,0.00,0.00
1,Leon Valley,11479.00,0.00,0.00,0.00
1,Port Lavaca,11410.00,0.00,0.00,0.00
1,La Homa,11389.00,0.00,0.00,0.00
1,Snyder,11310.00,0.00,0.00,0.00
1,Selma,11302.00,0.00,0.00,0.00
1,Fredericksburg,11254.00,0.00,0.00,0.00
1,Iowa Colony,11028.00,0.00,0.00,0.00
1,Heartland,11019.00,0.00,0.00,0.00
1,Burkburnett,11012.00,0.00,0.00,0.00
1,Elgin,10996.00,0.00,0.00,0.00
1,Pleasanton,10854.00,0.00,0.00,0.00
1,Scenic Oaks,10727.00,0.00,0.00,0.00
1,Clute,10650.00,0.00,0.00,0.00
1,Freeport,10639.00,0.00,0.00,0.00
1,Fair Oaks Ranch,10630.00,0.00,0.00,0.00
1,Bonham,10594.00,0.00,0.00,0.00
1,Fairview,10570.00,0.00,0.00,0.00
2,Houston,6046375.77,5.31,9.07,1.85
2,Dallas,5843631.99,0.00,0.00,0.00
2,San Antonio,2069842.99,0.00,0.01,0.00
2,Austin,1915030.99,0.00,0.01,0.00
2,Fort Worth,941311.00,0.00,0.00,0.00
2,El Paso,862494.00,0.00,0.00,0.00
2,McAllen,810034.00,0.00,0.00,0.00
2,Denton,455152.00,0.00,0.00,0.00
2,Arlington,394769.00,0.00,0.00,0.00
2,Corpus Christi,339432.00,0.00,0.00,0.00
2,Plano,287339.00,0.00,0.00,0.00
2,Lubbock,283024.00,0.00,0.00,0.00
2,Killeen,261099.00,0.00,0.00,0.00
2,Laredo,255949.00,0.00,0.00,0.00
2,Irving,255036.00,0.00,0.00,0.00
2,Garland,245298.00,0.00,0.00,0.00
2,Brownsville,223416.00,0.00,0.00,0.00
2,College Station,215768.00,0.00,0.00,0.00
2,Frisco,210238.00,0.00,0.00,0.00
2,Amarillo,205100.00,0.00,0.00,0.00
2,Galveston,202809.99,0.00,0.01,0.00
2,McKinney,202314.00,0.00,0.00,0.00
2,Grand Prairie,198564.00,0.00,0.00,0.00
2,Waco,197594.00,0.00,0.00,0.00
2,Odessa,162648.00,0.00,0.00,0.00
2,Pasadena,149344.97,0.01,0.02,0.00
2,Mesquite,148848.00,0.00,0.00,0.00
2,Beaumont,146554.00,0.00,0.00,0.00
2,Midland,143714.00,0.00,0.00,0.00
2,Carrollton,132741.00,0.00,0.00,0.00
2,Tyler,131037.00,0.00,0.00,0.00
2,Lewisville,128313.00,0.00,0.00,0.00
2,Abilene,127130.00,0.00,0.00,0.00
2,Pearland,125982.97,0.01,0.02,0.00
2,Round Rock,124288.00,0.00,0.00,0.00
2,Temple,123932.00,0.00,0.00,0.00
2,Richardson,118269.00,0.00,0.00,0.00
2,The Woodlands,116915.99,0.00,0.01,0.00
2,Harlingen,115767.00,0.00,0.00,0.00
2,League City,114884.99,0.00,0.01,0.00
2,Port Arthur,114860.00,0.00,0.00,0.00
2,Longview,112687.00,0.00,0.00,0.00
2,Sugar Land,109734.98,0.01,0.01,0.00
2,Allen,107684.00,0.00,0.00,0.00
2,Edinburg,102561.00,0.00,0.00,0.00
2,Wichita Falls,102558.00,0.00,0.00,0.00
2,San Angelo,99507.00,0.00,0.00,0.00
2,New Braunfels,98700.00,0.00,0.00,0.00
2,Conroe,96975.99,0.00,0.00,0.00
2,Atascocita,93925.98,0.01,0.01,0.00
2,Mission,86234.00,0.00,0.00,0.00
2,Bryan,86169.00,0.00,0.00,0.00
2,Baytown,84537.99,0.00,0.01,0.00
2,Pharr,79809.00,0.00,0.00,0.00
2,Georgetown,78803.00,0.00,0.00,0.00
